Table 21. Number of Poor and Poverty Rate by State: 1980 to 2020,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>)",,,,,
2020,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
New Mexico,"2,037",451,36,22.2,1.8
New York,"19,329","3,085",144,16.0,0.7
North Carolina,"9,504","1,459",130,15.4,1.4
North Dakota,675,67,10,9.9,1.4
Ohio,"11,309","1,708",129,15.1,1.2
Oklahoma,"3,763",522,47,13.9,1.2
Oregon,"3,850",553,51,14.4,1.3
Pennsylvania,"12,697","1,604",106,12.6,0.8
Rhode Island,"1,038",139,10,13.4,1.0
South Carolina,"4,605",874,64,19.0,1.4
South Dakota,808,117,20,14.5,2.5
Tennessee,"6,324","1,030",104,16.3,1.7
Texas,"25,554","4,458",196,17.4,0.8
Utah,"2,812",309,29,11.0,1.0
Vermont,615,71,6,11.6,1.0
Virginia,"7,971",907,70,11.4,0.9
Washington,"6,812",854,74,12.5,1.1
West Virginia,"1,820",318,34,17.5,1.8
Wisconsin,"5,676",743,60,13.1,1.1
Wyoming,562,60,8,10.7,1.4
2010,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,717",812,83,17.2,1.8
Alaska,695,87,10,12.5,1.5
Arizona,"6,426","1,208",108,18.8,1.7
Arkansas,"2,879",440,45,15.3,1.6
California,"37,240","6,073",212,16.3,0.6
Colorado,"4,995",615,54,12.3,1.1
Connecticut,"3,541",303,27,8.6,0.8
Delaware,890,109,10,12.2,1.1
District of Columbia,604,118,8,19.5,1.3
Florida,"18,759","3,006",127,16.0,0.7
Georgia,"9,650","1,814",104,18.8,1.1
Hawaii,"1,311",162,15,12.4,1.2
Idaho,"1,543",213,23,13.8,1.5
Illinois,"12,784","1,798",101,14.1,0.8
Indiana,"6,390","1,041",95,16.3,1.5
Iowa,"2,977",307,30,10.3,1.0
Kansas,"2,766",400,39,14.5,1.4
Kentucky,"4,270",754,65,17.7,1.6
Louisiana,"4,418",949,69,21.5,1.6
Maine,"1,298",164,15,12.6,1.2
Maryland,"5,786",628,50,10.9,0.9
Massachusetts,"6,532",711,68,10.9,1.1
Michigan,"9,751","1,530",110,15.7,1.1
Minnesota,"5,217",563,43,10.8,0.8
Mississippi,"2,920",658,44,22.5,1.5
Missouri,"5,929",890,79,15.0,1.4
Montana,979,142,17,14.5,1.8
Nebraska,"1,804",184,20,10.2,1.2
Nevada,"2,696",446,35,16.6,1.3
New Hampshire,"1,294",84,8,6.5,0.7
New Jersey,"8,733",966,89,11.1,1.0
New Mexico,"2,033",372,30,18.3,1.5
New York,"19,116","3,062",147,16.0,0.8
North Carolina,"9,359","1,633",90,17.4,1.0
North Dakota,653,82,6,12.6,0.9
Ohio,"11,341","1,746",118,15.4,1.1
Oklahoma,"3,697",603,62,16.3,1.7
Oregon,"3,752",537,44,14.3,1.2
Pennsylvania,"12,530","1,535",84,12.2,0.7
Rhode Island,"1,042",146,11,14.0,1.0
South Carolina,"4,563",773,53,16.9,1.2
South Dakota,799,109,9,13.6,1.1
Tennessee,"6,315","1,052",85,16.7,1.3
Texas,"25,200","4,633",196,18.4,0.8
Utah,"2,768",278,30,10.0,1.1
Vermont,624,67,7,10.8,1.1
Virginia,"7,837",835,73,10.7,0.9
Washington,"6,713",779,73,11.6,1.1
West Virginia,"1,816",306,23,16.8,1.3
Wisconsin,"5,626",567,52,10.1,0.9
Wyoming,550,53,5,9.6,0.9
2009,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,655",770,60,16.6,1.3
Alaska,688,81,8,11.7,1.2
Arizona,"6,508","1,381",84,21.2,1.3
Arkansas,"2,846",538,40,18.9,1.4
California,"36,742","5,638",177,15.3,0.5
Colorado,"4,969",613,58,12.3,1.2
Connecticut,"3,472",292,35,8.4,1.0
Delaware,883,109,11,12.3,1.2
District of Columbia,595,107,9,17.9,1.5
Florida,"18,385","2,676",116,14.6,0.6
Georgia,"9,657","1,775",91,18.4,0.9
Hawaii,"1,250",156,14,12.5,1.2
Idaho,"1,524",209,19,13.7,1.2
Illinois,"12,759","1,690",94,13.2,0.7
Indiana,"6,342","1,023",70,16.1,1.1
Iowa,"2,987",319,34,10.7,1.1
Kansas,"2,737",374,35,13.7,1.3
Kentucky,"4,276",727,58,17.0,1.4
Louisiana,"4,450",636,55,14.3,1.2
Maine,"1,297",148,16,11.4,1.3
Maryland,"5,662",543,54,9.6,1.0
Massachusetts,"6,623",717,60,10.8,0.9
Michigan,"9,797","1,376",83,14.0,0.8
Minnesota,"5,200",576,54,11.1,1.0
Mississippi,"2,847",658,44,23.1,1.5
Missouri,"5,963",926,68,15.5,1.1
Montana,971,131,12,13.5,1.2
Nebraska,"1,778",176,20,9.9,1.1
Nevada,"2,629",343,32,13.0,1.2
New Hampshire,"1,313",103,13,7.8,1.0
New Jersey,"8,660",806,66,9.3,0.8
New Mexico,"1,971",381,31,19.3,1.6
New York,"19,158","3,018",125,15.8,0.7
North Carolina,"9,336","1,576",88,16.9,0.9
North Dakota,632,69,7,10.9,1.1
Ohio,"11,441","1,526",87,13.3,0.8
Oklahoma,"3,632",468,44,12.9,1.2
Oregon,"3,821",510,49,13.4,1.3
Pennsylvania,"12,401","1,376",84,11.1,0.7
Rhode Island,"1,030",134,14,13.0,1.3
South Carolina,"4,501",618,55,13.7,1.2
South Dakota,799,113,9,14.1,1.2
Tennessee,"6,240","1,031",70,16.5,1.1
Texas,"24,632","4,262",154,17.3,0.6
Utah,"2,794",270,26,9.7,0.9
Vermont,617,58,7,9.4,1.1
Virginia,"7,767",831,65,10.7,0.8
Washington,"6,697",781,65,11.7,1.0
West Virginia,"1,801",285,22,15.8,1.2
Wisconsin,"5,545",599,56,10.8,1.0
Wyoming,540,50,6,9.2,1.1
2008,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,716",675,57,14.3,1.2
Alaska,672,55,7,8.2,1.0
Arizona,"6,529","1,172",79,18.0,1.2
Arkansas,"2,822",431,36,15.3,1.3
California,"36,637","5,344",174,14.6,0.5
Colorado,"4,908",541,55,11.0,1.1
Connecticut,"3,433",276,34,8.1,1.0
Delaware,861,82,9,9.6,1.1
District of Columbia,590,98,9,16.5,1.5
Florida,"18,022","2,370",110,13.1,0.6
Georgia,"9,541","1,477",84,15.5,0.9
Hawaii,"1,255",125,13,9.9,1.1
Idaho,"1,515",185,18,12.2,1.2
Illinois,"12,687","1,564",90,12.3,0.7
Indiana,"6,288",901,66,14.3,1.1
Iowa,"2,986",285,32,9.5,1.1
Kansas,"2,716",346,34,12.7,1.3
Kentucky,"4,246",724,58,17.1,1.4
Louisiana,"4,326",788,60,18.2,1.4
Maine,"1,317",158,17,12.0,1.3
Maryland,"5,528",481,51,8.7,0.9
Massachusetts,"6,420",727,60,11.3,0.9
Michigan,"9,806","1,273",80,13.0,0.8
Minnesota,"5,120",506,51,9.9,1.0
Mississippi,"2,900",525,40,18.1,1.4
Missouri,"5,861",780,63,13.3,1.1
Montana,973,125,12,12.9,1.2
Nebraska,"1,774",188,20,10.6,1.1
Nevada,"2,581",278,30,10.8,1.2
New Hampshire,"1,300",91,12,7.0,1.0
New Jersey,"8,515",787,65,9.2,0.8
New Mexico,"1,977",381,31,19.3,1.6
New York,"19,309","2,734",120,14.2,0.6
North Carolina,"9,234","1,285",80,13.9,0.9
North Dakota,625,74,7,11.8,1.2
Ohio,"11,386","1,557",88,13.7,0.8
Oklahoma,"3,550",484,45,13.6,1.3
Oregon,"3,806",403,44,10.6,1.2
Pennsylvania,"12,178","1,335",83,11.0,0.7
Rhode Island,"1,042",132,14,12.7,1.3
South Carolina,"4,462",624,55,14.0,1.2
South Dakota,794,104,9,13.1,1.1
Tennessee,"6,163",924,67,15.0,1.1
Texas,"24,174","3,834",148,15.9,0.6
Utah,"2,754",209,23,7.6,0.9
Vermont,610,55,7,9.0,1.1
Virginia,"7,735",799,64,10.3,0.8
Washington,"6,526",680,61,10.4,0.9
West Virginia,"1,796",260,21,14.5,1.2
Wisconsin,"5,548",544,53,9.8,1.0
Wyoming,529,54,6,10.1,1.2
2007,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,566",662,56,14.5,1.2
Alaska,675,51,7,7.6,1.0
Arizona,"6,365",912,71,14.3,1.1
Arkansas,"2,803",387,35,13.8,1.2
California,"36,247","4,589",163,12.7,0.5
Colorado,"4,872",478,52,9.8,1.1
Connecticut,"3,471",309,36,8.9,1.0
Delaware,861,80,9,9.3,1.1
District of Columbia,580,104,9,18.0,1.6
Florida,"18,044","2,250",108,12.5,0.6
Georgia,"9,486","1,294",80,13.6,0.8
Hawaii,"1,264",94,12,7.5,0.9
Idaho,"1,501",149,16,9.9,1.1
Illinois,"12,680","1,262",82,10.0,0.7
Indiana,"6,258",740,61,11.8,1.0
Iowa,"2,965",264,31,8.9,1.1
Kansas,"2,720",319,33,11.7,1.2
Kentucky,"4,202",653,55,15.5,1.3
Louisiana,"4,186",673,56,16.1,1.3
Maine,"1,312",142,16,10.9,1.2
Maryland,"5,560",491,52,8.8,0.9
Massachusetts,"6,336",707,59,11.2,0.9
Michigan,"9,919","1,076",74,10.8,0.8
Minnesota,"5,188",482,50,9.3,1.0
Mississippi,"2,895",655,44,22.6,1.5
Missouri,"5,783",742,62,12.8,1.1
Montana,938,122,12,13.0,1.2
Nebraska,"1,751",174,20,9.9,1.1
Nevada,"2,566",250,28,9.7,1.1
New Hampshire,"1,312",76,11,5.8,0.9
New Jersey,"8,548",742,63,8.7,0.7
New Mexico,"1,941",271,27,14.0,1.4
New York,"19,021","2,757",121,14.5,0.6
North Carolina,"9,170","1,423",84,15.5,0.9
North Dakota,614,57,7,9.3,1.1
Ohio,"11,280","1,446",85,12.8,0.8
Oklahoma,"3,551",476,44,13.4,1.3
Oregon,"3,761",481,47,12.8,1.3
Pennsylvania,"12,297","1,273",81,10.4,0.7
Rhode Island,"1,042",99,12,9.5,1.1
South Carolina,"4,380",617,54,14.1,1.2
South Dakota,787,74,8,9.4,1.0
Tennessee,"6,137",906,66,14.8,1.1
Texas,"23,653","3,903",148,16.5,0.6
Utah,"2,651",255,26,9.6,1.0
Vermont,613,61,7,9.9,1.2
Virginia,"7,678",664,59,8.6,0.8
Washington,"6,503",661,60,10.2,0.9
West Virginia,"1,793",265,22,14.8,1.2
Wisconsin,"5,458",601,56,11.0,1.0
Wyoming,518,56,6,10.9,1.2
2006,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,532",650,56,14.3,1.2
Alaska,658,58,7,8.9,1.1
Arizona,"6,256",902,71,14.4,1.1
Arkansas,"2,748",487,38,17.7,1.4
California,"36,160","4,427",160,12.2,0.4
Colorado,"4,797",466,52,9.7,1.1
Connecticut,"3,457",275,34,8.0,1.0
Delaware,858,80,9,9.3,1.1
District of Columbia,569,104,9,18.3,1.6
Florida,"18,029","2,068",104,11.5,0.6
Georgia,"9,334","1,172",76,12.6,0.8
Hawaii,"1,254",116,13,9.2,1.0
Idaho,"1,472",141,16,9.5,1.1
Illinois,"12,633","1,338",85,10.6,0.7
Indiana,"6,334",674,59,10.6,0.9
Iowa,"2,913",301,33,10.3,1.1
Kansas,"2,719",349,34,12.8,1.3
Kentucky,"4,106",690,56,16.8,1.4
Louisiana,"4,206",713,57,17.0,1.4
Maine,"1,313",134,16,10.2,1.2
Maryland,"5,607",469,51,8.4,0.9
Massachusetts,"6,324",758,61,12.0,1.0
Michigan,"9,953","1,323",81,13.3,0.8
Minnesota,"5,145",422,47,8.2,0.9
Mississippi,"2,887",596,42,20.6,1.5
Missouri,"5,797",659,58,11.4,1.0
Montana,930,125,12,13.5,1.3
Nebraska,"1,765",180,20,10.2,1.1
Nevada,"2,530",241,28,9.5,1.1
New Hampshire,"1,308",71,11,5.4,0.8
New Jersey,"8,650",762,64,8.8,0.7
New Mexico,"1,939",328,29,16.9,1.5
New York,"19,021","2,668",119,14.0,0.6
North Carolina,"8,847","1,225",79,13.8,0.9
North Dakota,615,70,7,11.4,1.2
Ohio,"11,297","1,371",83,12.1,0.7
Oklahoma,"3,489",531,47,15.2,1.3
Oregon,"3,705",439,45,11.8,1.2
Pennsylvania,"12,326","1,397",84,11.3,0.7
Rhode Island,"1,054",110,13,10.5,1.2
South Carolina,"4,224",474,49,11.2,1.2
South Dakota,770,82,8,10.7,1.1
Tennessee,"5,916",879,65,14.9,1.1
Texas,"23,208","3,816",147,16.4,0.6
Utah,"2,536",235,25,9.3,1.0
Vermont,618,48,6,7.8,1.1
Virginia,"7,532",651,58,8.6,0.8
Washington,"6,310",502,53,8.0,0.8
West Virginia,"1,810",277,22,15.3,1.2
Wisconsin,"5,471",555,54,10.1,1.0
Wyoming,516,51,6,10.0,1.2
2005,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,501",750,59,16.7,1.3
Alaska,657,66,7,10.0,1.1
Arizona,"6,025",917,71,15.2,1.2
Arkansas,"2,756",382,34,13.8,1.3
California,"35,840","4,716",164,13.2,0.5
Colorado,"4,629",530,55,11.4,1.2
Connecticut,"3,483",326,37,9.3,1.1
Delaware,842,78,9,9.2,1.1
District of Columbia,539,115,9,21.3,1.7
Florida,"17,845","1,975",102,11.1,0.6
Georgia,"9,014","1,298",80,14.4,0.9
Hawaii,"1,274",110,12,8.6,1.0
Idaho,"1,441",143,16,9.9,1.1
Illinois,"12,571","1,441",87,11.5,0.7
Indiana,"6,131",774,62,12.6,1.0
Iowa,"2,902",327,34,11.3,1.2
Kansas,"2,693",337,34,12.5,1.3
Kentucky,"4,049",599,53,14.8,1.3
Louisiana,"4,086",748,58,18.3,1.4
Maine,"1,314",166,17,12.6,1.3
Maryland,"5,560",542,54,9.7,1.0
Massachusetts,"6,318",641,57,10.1,0.9
Michigan,"9,964","1,196",78,12.0,0.8
Minnesota,"5,113",412,46,8.1,0.9
Mississippi,"2,843",571,41,20.1,1.5
Missouri,"5,697",659,58,11.6,1.0
Montana,926,128,12,13.8,1.3
Nebraska,"1,760",167,19,9.5,1.1
Nevada,"2,447",260,29,10.6,1.2
New Hampshire,"1,298",73,11,5.6,0.9
New Jersey,"8,692",592,57,6.8,0.7
New Mexico,"1,938",347,29,17.9,1.5
New York,"18,995","2,760",121,14.5,0.6
North Carolina,"8,538","1,115",75,13.1,0.9
North Dakota,625,70,7,11.2,1.2
Ohio,"11,310","1,392",84,12.3,0.7
Oklahoma,"3,486",543,47,15.6,1.4
Oregon,"3,619",436,45,12.0,1.3
Pennsylvania,"12,237","1,372",84,11.2,0.7
Rhode Island,"1,052",127,13,12.1,1.3
South Carolina,"4,164",626,55,15.0,1.3
South Dakota,765,90,8,11.8,1.1
Tennessee,"5,853",872,65,14.9,1.1
Texas,"22,777","3,681",144,16.2,0.6
Utah,"2,521",232,24,9.2,1.0
Vermont,621,47,6,7.6,1.0
Virginia,"7,442",684,60,9.2,0.8
Washington,"6,237",636,59,10.2,0.9
West Virginia,"1,795",276,22,15.4,1.2
Wisconsin,"5,440",553,54,10.2,1.0
Wyoming,509,54,6,10.6,1.2
2004,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,508",762,59,16.9,1.3
Alaska,648,59,7,9.1,1.1
Arizona,"5,763",830,68,14.4,1.2
Arkansas,"2,723",412,35,15.1,1.3
California,"35,772","4,724",165,13.2,0.5
Colorado,"4,517",450,51,10.0,1.1
Connecticut,"3,487",352,38,10.1,1.1
Delaware,825,74,9,9.0,1.1
District of Columbia,545,93,9,17.0,1.6
Florida,"17,419","2,028",103,11.6,0.6
Georgia,"8,700","1,132",75,13.0,0.9
Hawaii,"1,244",106,12,8.6,1.0
Idaho,"1,372",136,15,9.9,1.1
Illinois,"12,563","1,546",90,12.3,0.7
Indiana,"6,121",712,60,11.6,1.0
Iowa,"2,901",316,34,10.9,1.2
Kansas,"2,669",304,32,11.4,1.2
Kentucky,"4,068",723,57,17.8,1.4
Louisiana,"4,419",744,58,16.8,1.3
Maine,"1,290",149,17,11.6,1.3
Maryland,"5,539",550,54,9.9,1.0
Massachusetts,"6,363",594,55,9.3,0.9
Michigan,"9,939","1,318",81,13.3,0.8
Minnesota,"5,120",356,43,7.0,0.9
Mississippi,"2,862",536,40,18.7,1.4
Missouri,"5,609",686,60,12.2,1.1
Montana,908,129,12,14.2,1.3
Nebraska,"1,724",163,19,9.5,1.1
Nevada,"2,385",260,29,10.9,1.2
New Hampshire,"1,291",71,11,5.5,0.9
New Jersey,"8,652",693,61,8.0,0.7
New Mexico,"1,899",314,28,16.5,1.5
New York,"19,010","2,847",122,15.0,0.6
North Carolina,"8,421","1,229",79,14.6,0.9
North Dakota,627,61,7,9.7,1.1
Ohio,"11,259","1,304",81,11.6,0.7
Oklahoma,"3,444",373,40,10.8,1.2
Oregon,"3,572",421,45,11.8,1.3
Pennsylvania,"12,142","1,383",84,11.4,0.7
Rhode Island,"1,055",122,13,11.5,1.2
South Carolina,"4,120",615,54,14.9,1.3
South Dakota,751,102,9,13.5,1.2
Tennessee,"5,846",932,67,15.9,1.1
Texas,"22,288","3,669",144,16.5,0.7
Utah,"2,390",241,25,10.1,1.0
Vermont,616,48,7,7.8,1.1
Virginia,"7,369",693,60,9.4,0.8
Washington,"6,116",700,61,11.4,1.0
West Virginia,"1,791",254,21,14.2,1.2
Wisconsin,"5,456",676,59,12.4,1.1
Wyoming,496,50,6,10.0,1.2
2003,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,417",663,56,15.0,1.2
Alaska,643,62,6,9.6,0.9
Arizona,"5,558",749,70,13.5,1.2
Arkansas,"2,670",474,39,17.8,1.3
California,"35,309","4,634",198,13.1,0.5
Colorado,"4,478",436,40,9.7,0.8
Connecticut,"3,417",278,28,8.1,0.8
Delaware,818,60,7,7.3,0.9
District of Columbia,550,92,8,16.8,1.4
Florida,"16,884","2,148",114,12.7,0.6
Georgia,"8,559","1,014",94,11.9,1.0
Hawaii,"1,250",117,12,9.3,0.9
Idaho,"1,356",138,15,10.2,1.0
Illinois,"12,616","1,592",95,12.6,0.7
Indiana,"6,130",610,54,9.9,0.8
Iowa,"2,916",260,26,8.9,0.9
Kansas,"2,676",288,27,10.8,1.0
Kentucky,"4,100",589,50,14.4,1.1
Louisiana,"4,422",750,63,17.0,1.3
Maine,"1,279",149,13,11.6,0.9
Maryland,"5,485",472,47,8.6,0.8
Massachusetts,"6,357",652,56,10.3,0.8
Michigan,"9,893","1,125",77,11.4,0.7
Minnesota,"5,075",376,40,7.4,0.8
Mississippi,"2,851",456,41,16.0,1.3
Missouri,"5,606",602,55,10.7,0.9
Montana,915,139,13,15.1,1.3
Nebraska,"1,725",168,17,9.8,1.0
Nevada,"2,242",244,22,10.9,0.9
New Hampshire,"1,263",73,9,5.8,0.7
New Jersey,"8,574",741,60,8.6,0.7
New Mexico,"1,867",338,30,18.1,1.5
New York,"18,922","2,707",120,14.3,0.6
North Carolina,"8,223","1,289",86,15.7,1.0
North Dakota,631,61,6,9.7,0.9
Ohio,"11,227","1,226",83,10.9,0.7
Oklahoma,"3,430",440,40,12.8,1.1
Oregon,"3,560",446,40,12.5,1.1
Pennsylvania,"12,135","1,279",82,10.5,0.6
Rhode Island,"1,051",121,10,11.5,0.9
South Carolina,"4,060",516,46,12.7,1.1
South Dakota,749,95,8,12.7,1.0
Tennessee,"5,901",829,75,14.0,1.2
Texas,"21,827","3,705",170,17.0,0.7
Utah,"2,346",213,23,9.1,0.9
Vermont,610,52,5,8.5,0.9
Virginia,"7,367",740,71,10.0,0.9
Washington,"6,078",766,68,12.6,1.1
West Virginia,"1,785",310,23,17.4,1.2
Wisconsin,"5,412",528,48,9.8,0.8
Wyoming,487,48,5,9.8,1.0
2002,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,432",640,55,14.5,1.2
Alaska,632,56,6,8.8,0.9
Arizona,"5,424",735,69,13.5,1.2
Arkansas,"2,690",532,42,19.8,1.4
California,"35,068","4,605",197,13.1,0.5
Colorado,"4,470",436,40,9.8,0.8
Connecticut,"3,377",279,28,8.3,0.8
Delaware,796,73,8,9.1,1.0
District of Columbia,570,97,8,17.0,1.4
Florida,"16,391","2,058",112,12.6,0.6
Georgia,"8,413",939,90,11.2,1.0
Hawaii,"1,219",138,14,11.3,1.0
Idaho,"1,296",147,15,11.3,1.1
Illinois,"12,495","1,594",96,12.8,0.7
Indiana,"6,086",552,51,9.1,0.8
Iowa,"2,899",267,27,9.2,0.9
Kansas,"2,681",269,26,10.1,0.9
Kentucky,"4,033",571,49,14.2,1.1
Louisiana,"4,445",777,64,17.5,1.3
Maine,"1,265",170,13,13.4,1.0
Maryland,"5,419",400,44,7.4,0.8
Massachusetts,"6,469",648,56,10.0,0.8
Michigan,"9,897","1,152",78,11.6,0.7
Minnesota,"5,044",325,37,6.5,0.7
Mississippi,"2,785",513,44,18.4,1.4
Missouri,"5,581",551,53,9.9,0.9
Montana,902,122,12,13.5,1.3
Nebraska,"1,700",181,18,10.6,1.0
Nevada,"2,114",188,19,8.9,0.9
New Hampshire,"1,264",73,9,5.8,0.7
New Jersey,"8,585",681,57,7.9,0.6
New Mexico,"1,837",328,30,17.9,1.5
New York,"19,224","2,690",120,14.0,0.6
North Carolina,"8,146","1,165",82,14.3,0.9
North Dakota,632,73,7,11.6,1.0
Ohio,"11,253","1,099",79,9.8,0.7
Oklahoma,"3,473",489,43,14.1,1.1
Oregon,"3,503",380,37,10.9,1.0
Pennsylvania,"12,168","1,152",78,9.5,0.6
Rhode Island,"1,055",116,10,11.0,0.9
South Carolina,"3,989",568,49,14.3,1.1
South Dakota,743,85,8,11.5,1.0
Tennessee,"5,655",839,75,14.8,1.2
Texas,"21,482","3,362",162,15.6,0.7
Utah,"2,308",228,24,9.9,1.0
Vermont,616,61,6,9.9,0.9
Virginia,"7,108",702,69,9.9,0.9
Washington,"5,988",657,63,11.0,1.0
West Virginia,"1,747",293,22,16.8,1.2
Wisconsin,"5,463",467,45,8.6,0.8
Wyoming,488,44,5,9.0,0.9
2001,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,378",696,57,15.9,1.2
Alaska,632,54,6,8.5,0.9
Arizona,"5,314",778,71,14.6,1.2
Arkansas,"2,650",472,39,17.8,1.4
California,"34,394","4,321",191,12.6,0.5
Colorado,"4,402",383,37,8.7,0.8
Connecticut,"3,385",249,27,7.3,0.8
Delaware,790,53,7,6.7,0.9
District of Columbia,554,101,9,18.2,1.4
Florida,"16,316","2,077",112,12.7,0.7
Georgia,"8,261","1,069",96,12.9,1.1
Hawaii,"1,205",138,13,11.4,1.1
Idaho,"1,314",151,15,11.5,1.1
Illinois,"12,314","1,249",85,10.1,0.7
Indiana,"6,030",511,49,8.5,0.8
Iowa,"2,858",212,24,7.4,0.8
Kansas,"2,635",267,26,10.1,0.9
Kentucky,"3,989",503,46,12.6,1.1
Louisiana,"4,372",709,61,16.2,1.3
Maine,"1,277",132,12,10.3,0.9
Maryland,"5,318",385,43,7.2,0.8
Massachusetts,"6,302",561,52,8.9,0.8
Michigan,"9,880",927,70,9.4,0.7
Minnesota,"4,910",361,39,7.4,0.8
Mississippi,"2,794",539,45,19.3,1.4
Missouri,"5,513",537,52,9.7,0.9
Montana,891,119,12,13.3,1.3
Nebraska,"1,680",158,17,9.4,1.0
Nevada,"2,129",152,17,7.1,0.8
New Hampshire,"1,254",81,9,6.5,0.7
New Jersey,"8,456",683,57,8.1,0.7
New Mexico,"1,795",323,30,18.0,1.5
New York,"18,783","2,664",119,14.2,0.6
North Carolina,"8,084","1,013",76,12.5,0.9
North Dakota,620,86,7,13.8,1.1
Ohio,"11,178","1,174",82,10.5,0.7
Oklahoma,"3,372",508,43,15.1,1.2
Oregon,"3,446",408,38,11.8,1.0
Pennsylvania,"12,087","1,158",78,9.6,0.6
Rhode Island,"1,043",100,9,9.6,0.8
South Carolina,"3,995",603,50,15.1,1.2
South Dakota,737,62,7,8.4,0.9
Tennessee,"5,670",802,74,14.1,1.2
Texas,"21,030","3,129",157,14.9,0.7
Utah,"2,257",238,24,10.5,1.0
Vermont,605,59,6,9.7,0.9
Virginia,"7,080",564,62,8.0,0.8
Washington,"5,920",634,62,10.7,1.0
West Virginia,"1,769",291,22,16.4,1.2
Wisconsin,"5,323",423,43,7.9,0.8
Wyoming,487,42,5,8.7,0.9
2000,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,376",583,53,13.3,1.1
Alaska,620,47,5,7.6,0.8
Arizona,"5,181",607,63,11.7,1.1
Arkansas,"2,650",436,38,16.5,1.3
California,"33,889","4,294",191,12.7,0.5
Colorado,"4,334",425,39,9.8,0.9
Connecticut,"3,365",258,27,7.7,0.8
Delaware,777,65,8,8.4,0.9
District of Columbia,552,84,8,15.2,1.3
Florida,"15,991","1,754",103,11.0,0.6
Georgia,"8,112",982,92,12.1,1.1
Hawaii,"1,195",106,12,8.9,0.9
Idaho,"1,289",162,16,12.5,1.2
Illinois,"12,269","1,307",87,10.7,0.7
Indiana,"6,007",513,49,8.5,0.8
Iowa,"2,858",237,25,8.3,0.8
Kansas,"2,649",213,23,8.0,0.8
Kentucky,"3,995",502,46,12.6,1.1
Louisiana,"4,354",750,63,17.2,1.3
Maine,"1,267",128,12,10.1,0.9
Maryland,"5,241",386,43,7.4,0.8
Massachusetts,"6,284",618,54,9.8,0.8
Michigan,"9,813",967,71,9.9,0.7
Minnesota,"4,890",276,34,5.7,0.7
Mississippi,"2,794",418,39,14.9,1.3
Missouri,"5,517",505,51,9.2,0.9
Montana,888,126,12,14.1,1.3
Nebraska,"1,679",145,16,8.6,0.9
Nevada,"2,045",180,19,8.8,0.9
New Hampshire,"1,231",56,8,4.5,0.6
New Jersey,"8,384",612,54,7.3,0.6
New Mexico,"1,790",312,29,17.5,1.5
New York,"18,752","2,604",118,13.9,0.6
North Carolina,"7,983","1,000",76,12.5,0.9
North Dakota,622,65,6,10.4,1.0
Ohio,"11,160","1,117",80,10.0,0.7
Oklahoma,"3,378",503,43,14.9,1.2
Oregon,"3,415",371,36,10.9,1.0
Pennsylvania,"12,044","1,033",74,8.6,0.6
Rhode Island,"1,035",106,9,10.2,0.9
South Carolina,"3,964",441,43,11.1,1.0
South Dakota,737,79,7,10.7,0.9
Tennessee,"5,630",759,72,13.5,1.2
Texas,"20,695","3,204",158,15.5,0.7
Utah,"2,239",170,20,7.6,0.9
Vermont,599,60,6,10.0,0.9
Virginia,"6,977",577,63,8.3,0.9
Washington,"5,863",634,62,10.8,1.0
West Virginia,"1,773",261,21,14.7,1.1
Wisconsin,"5,308",493,46,9.3,0.8
Wyoming,485,52,5,10.8,1.0
1999,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,388",668,84,15.2,1.8
Alaska,630,48,9,7.6,1.3
Arizona,"5,057",616,79,12.2,1.5
Arkansas,"2,616",384,48,14.7,1.7
California,"33,705","4,733",250,14.0,0.7
Colorado,"4,319",366,59,8.5,1.3
Connecticut,"3,418",246,51,7.2,1.4
Delaware,768,80,14,10.4,1.7
District of Columbia,545,80,12,14.7,2.0
Florida,"15,566","1,937",139,12.4,0.8
Georgia,"7,877","1,011",121,12.8,1.4
Hawaii,"1,225",133,22,10.8,1.7
Idaho,"1,240",175,22,14.1,1.7
Illinois,"12,248","1,215",112,9.9,0.9
Indiana,"5,914",396,75,6.7,1.2
Iowa,"2,856",210,39,7.4,1.3
Kansas,"2,605",320,46,12.3,1.7
Kentucky,"3,859",467,67,12.1,1.6
Louisiana,"4,289",823,90,19.2,1.9
